"","x"
"639",218
"640",220
"641",224
"642",226
"643",230
"644",236
"645",240
"646",246
"647",250
"648",256
"649",260
"650",266
"651",268
"652",272
"653",276
"654",276
"655",276
"656",276
"657",276
"658",276
"659",276
"660",276
"661",274
"662",272
"663",270
"664",270
"665",270
"666",272
"667",272
"668",274
"669",274
"670",274
"671",274
"672",272
"673",272
"674",270
"675",270
"676",272
"677",272
"678",270
"679",268
"680",268
"681",266
"682",264
"683",260
"684",258
"685",254
"686",250
"687",246
"688",242
"689",238
"690",234
"691",228
"692",224
"693",218
"694",212
"695",206
"696",200
"697",194
"698",186
"699",182
"700",178
"701",176
"702",172
"703",168
"704",164
"705",162
"706",158
"707",156
"708",154
"709",152
"710",150
"711",148
"712",148
"713",146
"714",144
"715",144
"716",142
"717",142
"718",142
"719",142
"720",142
"721",130
"722",130
"723",134
"724",136
"725",138
"726",138
"727",136
"728",134
"729",132
"730",126
"731",120
"732",114
"733",108
"734",104
"735",98
"736",96
"737",92
"738",90
"739",86
"740",86
"741",86
"742",86
"743",86
"744",86
"745",86
"746",86
"747",86
"748",88
"749",90
"750",94
"751",96
"752",100
"753",104
"754",110
"755",114
"756",118
"757",122
"758",126
"759",130
"760",132
"761",134
"762",136
"763",140
"764",142
"765",144
"766",146
"767",146
"768",146
"769",144
"770",144
"771",144
"772",144
"773",146
"774",146
"775",146
"776",146
"777",146
"778",146
"779",146
"780",146
"781",146
"782",146
"783",144
"784",146
"785",140
"786",140
"787",140
"788",140
"789",138
"790",138
"791",138
"792",140
"793",140
"794",140
"795",138
"796",140
"797",138
"798",136
"799",134
"800",130
"801",126
"802",122
"803",120
"804",116
"805",112
"806",104
"807",100
"808",96
"809",96
"810",96
"811",98
"812",100
"813",102
"814",104
"815",104
"816",102
"817",100
"818",100
"819",94
"820",92
"821",92
"822",90
"823",90
"824",90
"825",90
"826",88
"827",88
"828",90
"829",90
"830",92
"831",94
"832",96
"833",96
"834",96
"835",96
"836",94
"837",96
"838",100
"839",104
"840",106
"841",108
"842",112
"843",114
"844",116
"845",118
"846",122
"847",124
"848",126
"849",126
"850",118
"851",116
"852",112
"853",108
"854",104
"855",102
"856",100
"857",98
"858",96
"859",96
"860",94
"861",92
"862",90
